term,property,value
http://purl.obolibrary.org/obo/OHD_0000284,http://purl.org/dc/terms/contributor,https://orcid.org/0000-0001-9625-1899
http://purl.obolibrary.org/obo/OHD_0000406,http://purl.org/dc/terms/contributor,https://orcid.org/0009-0006-7251-3026
http://purl.obolibrary.org/obo/OHD_0000407,http://purl.org/dc/terms/contributor,https://orcid.org/0000-0001-9625-1899
http://purl.obolibrary.org/obo/OHD_0000282,http://purl.org/dc/terms/contributor,https://orcid.org/0000-0001-9625-1899
http://purl.obolibrary.org/obo/OHD_0000270,http://purl.org/dc/terms/contributor,https://orcid.org/0009-0006-7251-3026
http://purl.obolibrary.org/obo/OHD_0000270,http://purl.org/dc/terms/contributor,https://orcid.org/0000-0001-9625-1899
http://purl.obolibrary.org/obo/OHD_0000407,http://purl.org/dc/terms/contributor,https://orcid.org/0009-0006-7251-3026
http://purl.obolibrary.org/obo/OHD_0000406,http://purl.org/dc/terms/contributor,https://orcid.org/0000-0001-9625-1899
http://purl.obolibrary.org/obo/OHD_0002000,http://purl.org/dc/terms/contributor,https://orcid.org/0009-0006-7251-3026
